geography_level,GEOID,NAMELSAD
incorporated_place,5400748,Albright town
incorporated_place,5409844,Brandonville town
incorporated_place,5410852,Bruceton Mills town
incorporated_place,5420428,Davis town
incorporated_place,5422852,Durbin town
incorporated_place,5434492,Hambleton town
incorporated_place,5436460,Hendricks town
incorporated_place,5437372,Hillsboro town
incorporated_place,5444044,Kingwood city
incorporated_place,5451676,Marlinton town
incorporated_place,5452228,Masontown town
incorporated_place,5462284,Parsons city
incorporated_place,5470588,Rowlesburg town
incorporated_place,5479708,Terra Alta town
incorporated_place,5480020,Thomas city
incorporated_place,5486812,White Sulphur Springs city
incorporated_place,5435092,Harman town
census_designated_place,5402260,Arbovale CDP
census_designated_place,5403460,Aurora CDP
census_designated_place,5404780,Bartow CDP
census_designated_place,5413684,Cass CDP
census_designated_place,5433124,Green Bank CDP
census_designated_place,5439412,Huntersville CDP
census_designated_place,5409364,Bowden CDP
census_designated_place,5410420,Brookhaven CDP
census_designated_place,5414775,Cheat Lake CDP
census_designated_place,5428948,Frank CDP
census_designated_place,5471284,St. George CDP
