NAMELSAD,Accommodation and Food Services,"Arts, Sports, Entertainment, and Recreation",Real Estate and Rentals,"Retail: Home, Food, Automobiles, Personal Care",total_tourism_relevant
Cheat Lake CDP,23,8,16,7,54
White Sulphur Springs city,26,8,8,9,51
Kingwood city,15,4,5,9,33
Marlinton town,13,4,2,10,29
Brookhaven CDP,8,2,2,12,24
Terra Alta town,5,2,2,8,17
Thomas city,5,3,2,3,13
Parsons city,3,0,2,5,10
Davis town,7,0,0,2,9
Durbin town,6,0,0,0,6
Rowlesburg town,2,1,0,2,5
Albright town,2,2,0,1,5
Aurora CDP,0,1,1,2,4
Masontown town,0,0,1,3,4
Cass CDP,3,1,0,0,4
Hillsboro town,2,1,0,0,3
Green Bank CDP,1,1,0,1,3
Hambleton town,0,1,0,1,2
Arbovale CDP,0,1,0,0,1
Bartow CDP,1,0,0,0,1
Bruceton Mills town,1,0,0,0,1
Huntersville CDP,0,0,0,1,1
Harman town,1,0,0,0,1
Hendricks town,0,0,0,1,1
