unit_name,holder,holder_type,manager,acres,duration,date_est,pub_access,gap_status,corridor_town
Canaan Valley National Wildlife Refuge,FWS,fws,FWS,19,,,Closed,2 - managed for biodiversity - disturbance events suppressed,Davis
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Berkeley, WV",NRCS - Admin State WV,nrcs,NRCS,144,,2020,Closed,4 - no known mandate for biodiversity protection,Davis
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Fayette, WV",NRCS - Admin State WV,nrcs,NRCS,153,,2021,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Grant, WV",NRCS - Admin State WV,nrcs,NRCS,264,,2020,Closed,4 - no known mandate for biodiversity protection,Davis
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Grant, WV",NRCS - Admin State WV,nrcs,NRCS,339,,2021,Closed,4 - no known mandate for biodiversity protection,Davis
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Greenbrier, WV",NRCS - Admin State WV,nrcs,NRCS,61,,2019,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,320,,2017,Closed,4 - no known mandate for biodiversity protection,Davis
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,118,,2018,Closed,4 - no known mandate for biodiversity protection,Davis
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,217,,2018,Closed,4 - no known mandate for biodiversity protection,Davis
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,83,,2019,Closed,4 - no known mandate for biodiversity protection,Davis
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Jefferson, WV",NRCS - Admin State WV,nrcs,NRCS,280,,2020,Closed,4 - no known mandate for biodiversity protection,Davis
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,302,,2017,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,146,,2019,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Monroe, WV",NRCS - Admin State WV,nrcs,NRCS,133,,2021,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Pocahontas, WV",NRCS - Admin State WV,nrcs,NRCS,290,,2019,Closed,4 - no known mandate for biodiversity protection,Marlinton
"Agricultural Conservation Easement Program - Agricultural Land Easements (ACEP-ALE), Summers, WV",NRCS - Admin State WV,nrcs,NRCS,274,,2018,Closed,4 - no known mandate for biodiversity protection,White Sulphur Springs
