name,facility_type,agency,acres,notes,corridor_town,annual_visitors,visitor_year,visitor_trend,visitor_source,visitor_data_notes
Blackwater Falls State Park,state_park,WV DNR,2279.9,"Section 1 southern terminus area; lodge, cabins, trails",Davis,,,,WV State Parks (wvstateparks.com),No facility-level count published; WV DNR reports ~7M total visitors across all state parks annually
Canaan Valley Resort State Park,state_park,WV DNR,5807.0,Near Canaan Valley trailhead waypoint,Davis,,,,WV State Parks (wvstateparks.com),No facility-level count published; includes ski and golf operations
Cathedral State Park,state_park,WV DNR,127.1,"Old-growth hemlock forest near Aurora, day-use only",Terra Alta,,,,WV State Parks (wvstateparks.com),No facility-level count published; day-use only 133-acre old-growth site
Kumbrabow State Forest,state_forest,WV Division of Forestry,9158.2,Highest-elevation state forest in WV; Section 2 area,Jenningston,,,,WV Division of Forestry (wvforestry.com),No public visitor count found
Cass Scenic Railroad State Park,state_park,WV DNR,383.4,"Section 2/3 boundary; historic logging railroad, cabins",Cass,,,,WV State Parks / Mountain Rail WV,No annual visitor count published; seasonal excursion train operation
Seneca State Forest,state_forest,WV Division of Forestry,12845.0,"WV's oldest state forest; cabins, camping, near Section 3",Cass,,,,WV Division of Forestry (wvforestry.com),No public visitor count found
Watoga State Park,state_park,WV DNR,10212.7,"WV's largest state park; Section 3 area, campground waypoint",Marlinton,,,,WV State Parks (wvstateparks.com),No facility-level count published
Calvin Price State Forest,state_forest,WV Division of Forestry,10125.4,Largely undeveloped; eastern Pocahontas/Greenbrier counties,Marlinton,,,,WV Division of Forestry (wvforestry.com),No public visitor count found; largely undeveloped
Droop Mountain Battlefield State Park,state_park,WV DNR,292.6,"Civil War site near Hillsboro, scenic overlook tower",Marlinton,,,,WV State Parks (wvstateparks.com),No facility-level count published; small Civil War site park
Beartown State Park,state_park,WV DNR,107.4,"Boardwalk through sandstone formations, day-use only",Marlinton,,,,WV State Parks (wvstateparks.com),No facility-level count published; day-use only; seasonal (closed winter)
