geo_id,display_name,county,county_geoid,GEOID,GEOIDFQ,GEOID_geography,profile_status,preferred_quantitative_geography,census_place_geoid,census_place_type,tract_geoid,block_group_geoid,zcta,verification_status,notes
TOWN_ALBRIGHT,Albright,Preston,54077,5400748,1600000US5400748,incorporated_place,Focus profile,incorporated_place,5400748,incorporated_place,,,,verified_from_existing_table,Trail intersects place boundary in the five-mile output.
TOWN_TERRA_ALTA,Terra Alta,Preston,54077,5479708,1600000US5479708,incorporated_place,Focus profile,incorporated_place,5479708,incorporated_place,,,,verified_from_existing_table,Within one mile of the trail in the five-mile output.
TOWN_ROWLESBURG,Rowlesburg,Preston,54077,5470588,1600000US5470588,incorporated_place,Focus profile,incorporated_place,5470588,incorporated_place,,,,verified_from_existing_table,Within one mile of the trail in the five-mile output.
TOWN_THOMAS,Thomas,Tucker,54093,5480020,1600000US5480020,incorporated_place,Focus profile,incorporated_place,5480020,incorporated_place,,,,verified_from_existing_table,Trail intersects place boundary in the five-mile output.
TOWN_DAVIS,Davis,Tucker,54093,5420428,1600000US5420428,incorporated_place,Focus profile,incorporated_place,5420428,incorporated_place,,,,verified_from_existing_table,Trail intersects place boundary in the five-mile output.
TOWN_JENNINGSTON,Jenningston,Tucker,54093,,,,"Focus profile, proxy needed",point_plus_tract_proxy,,,54093965300,,,needs_spelling_point_source_and_proxy_confirmation,"Spelling, point source, and proxy geography need confirmation."
TOWN_GREEN_BANK,Green Bank,Pocahontas,54075,5433124,1600000US5433124,census_designated_place,"Focus profile or anchor-context profile, pending lead confirmation",census_designated_place,5433124,census_designated_place,,,,verified_from_existing_table,Green Bank Observatory should be stored separately as an anchor asset.
TOWN_DURBIN,Durbin,Pocahontas,54075,5422852,1600000US5422852,incorporated_place,Focus profile,incorporated_place,5422852,incorporated_place,,,,verified_from_existing_table,Trail intersects place boundary in the five-mile output.
TOWN_CASS,Cass,Pocahontas,54075,5413684,1600000US5413684,census_designated_place,"Focus profile, use caution",census_designated_place,5413684,census_designated_place,,,,verified_from_existing_table,"ACS 2024 table currently shows zero population/households; use point, asset, tract, and county context carefully."
TOWN_MARLINTON,Marlinton,Pocahontas,54075,5451676,1600000US5451676,incorporated_place,Pilot focus profile,incorporated_place,5451676,incorporated_place,,,,verified_from_existing_table,Pilot town; trail intersects place boundary in the five-mile output.
TOWN_WHITE_SULPHUR_SPRINGS,White Sulphur Springs,Greenbrier,54025,5486812,1600000US5486812,incorporated_place,Focus profile,incorporated_place,5486812,incorporated_place,,,,verified_from_existing_table,Trail intersects place boundary in the five-mile output.
